Initialising fast UCB table... done
Main runs
Starting run 1 with 256 simulations... 
Time in this step: 0.0412136
Time in this step: 0.0380647
Time in this step: 0.0373887
Time in this step: 0.0365805
Time in this step: 0.0353947
Time in this step: 0.0352333
Time in this step: 0.0345073
Time in this step: 0.0336355
Time in this step: 0.0333167
Time in this step: 0.0329371
Time in this step: 0.0325545
Time in this step: 0.032443
Time in this step: 0.0311805
Time in this step: 0.0307618
Time in this step: 0.0309039
Time in this step: 0.0299311
Time in this step: 0.029724
Time in this step: 0.0293487
Time in this step: 0.0290667
Time in this step: 0.0281516
Time in this step: 0.0273212
Time in this step: 0.0275075
Time in this step: 0.0271903
Time in this step: 0.0255845
Time in this step: 0.0262637
Time in this step: 0.0255645
Time in this step: 0.0252053
Time in this step: 0.0250856
Time in this step: 0.0248095
Time in this step: 0.0242633
Time in this step: 0.0237046
Time in this step: 0.0232005
Time in this step: 0.0213719
Time in this step: 0.0221645
Time in this step: 0.0217298
Time in this step: 0.0209852
Time in this step: 0.0201528
Time in this step: 0.0197002
Time in this step: 0.0197457
Time in this step: 0.0193175
Time in this step: 0.0188955
Time in this step: 0.0187015
Time in this step: 0.0180988
Time in this step: 0.0180304
Time in this step: 0.0174731
Time in this step: 0.0172678
Time in this step: 0.0167569
Time in this step: 0.0165554
Time in this step: 0.0159599
Time in this step: 0.0153093
Time in this step: 0.0193024
Time in this step: 0.0149205
Time in this step: 0.0141775
Time in this step: 0.0140366
Time in this step: 0.0132959
Time in this step: 0.0125229
Time in this step: 0.0122418
Time in this step: 0.0120508
Time in this step: 0.0116558
Time in this step: 0.0114148
Time in this step: 0.0102452
Time in this step: 0.0102611
Time in this step: 0.00930826
Time in this step: 0.00600107
Terminated
Discounted return = 36, average = 36
Undiscounted return = 36, average = 36
Starting run 2 with 256 simulations... 
Time in this step: 0.0385658
Time in this step: 0.0359725
Time in this step: 0.0350049
Time in this step: 0.0347502
Time in this step: 0.0342357
Time in this step: 0.0338901
Time in this step: 0.0335144
Time in this step: 0.0329733
Time in this step: 0.0325003
Time in this step: 0.0321297
Time in this step: 0.0321845
Time in this step: 0.0310202
Time in this step: 0.0315537
Time in this step: 0.0306278
Time in this step: 0.0309917
Time in this step: 0.0304878
Time in this step: 0.0300576
Time in this step: 0.0294525
Time in this step: 0.0283426
Time in this step: 0.0284865
Time in this step: 0.0274385
Time in this step: 0.0273267
Time in this step: 0.0272137
Time in this step: 0.0268192
Time in this step: 0.0262601
Time in this step: 0.0261583
Time in this step: 0.0255989
Time in this step: 0.0249887
Time in this step: 0.024479
Time in this step: 0.0244201
Time in this step: 0.0241608
Time in this step: 0.0228228
Time in this step: 0.0218884
Time in this step: 0.0223808
Time in this step: 0.0213714
Time in this step: 0.02098
Time in this step: 0.0207349
Time in this step: 0.0199902
Time in this step: 0.0193281
Time in this step: 0.0192186
Time in this step: 0.0188505
Time in this step: 0.0185934
Time in this step: 0.0179473
Time in this step: 0.0172734
Time in this step: 0.0165433
Time in this step: 0.0161163
Time in this step: 0.0158122
Time in this step: 0.0154474
Time in this step: 0.0150674
Time in this step: 0.0146932
Time in this step: 0.0134089
Time in this step: 0.0193961
Time in this step: 0.0149423
Time in this step: 0.0131204
Time in this step: 0.0129838
Time in this step: 0.0127264
Time in this step: 0.0124458
Time in this step: 0.0120834
Time in this step: 0.012007
Time in this step: 0.0114873
Time in this step: 0.0111723
Time in this step: 0.0107497
Time in this step: 0.010739
Time in this step: 0.0104056
Time in this step: 0.00951658
Time in this step: 0.00933317
Time in this step: 0.00928146
Time in this step: 0.00876912
Time in this step: 0.00791279
Time in this step: 0.00584692
Terminated
Discounted return = 30, average = 33
Undiscounted return = 30, average = 33
Starting run 3 with 256 simulations... 
Time in this step: 0.0392375
Time in this step: 0.0357277
Time in this step: 0.0352813
Time in this step: 0.0348386
Time in this step: 0.0342682
Time in this step: 0.0340862
Time in this step: 0.033527
Time in this step: 0.032651
Time in this step: 0.032081
Time in this step: 0.0318016
Time in this step: 0.0317294
Time in this step: 0.030927
Time in this step: 0.0310242
Time in this step: 0.0304022
Time in this step: 0.0298937
Time in this step: 0.0291843
Time in this step: 0.0287613
Time in this step: 0.0284336
Time in this step: 0.0280582
Time in this step: 0.0280588
Time in this step: 0.0277789
Time in this step: 0.0263694
Time in this step: 0.0265221
Time in this step: 0.025471
Time in this step: 0.025335
Time in this step: 0.0257037
Time in this step: 0.0251555
Time in this step: 0.0247255
Time in this step: 0.0244065
Time in this step: 0.023874
Time in this step: 0.0233714
Time in this step: 0.0232007
Time in this step: 0.0225406
Time in this step: 0.0222145
Time in this step: 0.0218165
Time in this step: 0.0212165
Time in this step: 0.0201852
Time in this step: 0.0200768
Time in this step: 0.0198763
Time in this step: 0.0194636
Time in this step: 0.019246
Time in this step: 0.0183099
Time in this step: 0.0179141
Time in this step: 0.0181115
Time in this step: 0.0177842
Time in this step: 0.0173663
Time in this step: 0.0163103
Time in this step: 0.0160879
Time in this step: 0.0162084
Time in this step: 0.0153021
Time in this step: 0.0148298
Time in this step: 0.0146277
Time in this step: 0.014622
Time in this step: 0.0136353
Time in this step: 0.014
Time in this step: 0.0135795
Time in this step: 0.0123902
Time in this step: 0.012476
Time in this step: 0.0116836
Time in this step: 0.0112724
Time in this step: 0.0101349
Time in this step: 0.00974556
Time in this step: 0.00687185
Terminated
Discounted return = 37, average = 34.3333
Undiscounted return = 37, average = 34.3333
Starting run 4 with 256 simulations... 
Time in this step: 0.038756
Time in this step: 0.0366225
Time in this step: 0.0361925
Time in this step: 0.0351799
Time in this step: 0.034305
Time in this step: 0.0342933
Time in this step: 0.0340949
Time in this step: 0.0337724
Time in this step: 0.0335619
Time in this step: 0.0322948
Time in this step: 0.0326112
Time in this step: 0.0312266
Time in this step: 0.0305425
Time in this step: 0.0312479
Time in this step: 0.0300474
Time in this step: 0.0298979
Time in this step: 0.0303792
Time in this step: 0.0293553
Time in this step: 0.028705
Time in this step: 0.0277005
Time in this step: 0.0268828
Time in this step: 0.0276395
Time in this step: 0.0268547
Time in this step: 0.0264544
Time in this step: 0.0259245
Time in this step: 0.0247868
Time in this step: 0.0243067
Time in this step: 0.0241651
Time in this step: 0.0239308
Time in this step: 0.0234895
