Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.25	0.132947	1.25	0.132947	0.000894598
32	100	1.07	0.119378	1.07	0.119378	0.00126064
64	100	1.12	0.118558	1.12	0.118558	0.00193955
128	100	1.18	0.133701	1.18	0.133701	0.00365282
256	100	0.91	0.121733	0.91	0.121733	0.00732687
512	100	1.25	0.135923	1.25	0.135923	0.0150388
1024	100	1.39	0.144149	1.39	0.144149	0.0291118
2048	100	1.07	0.126693	1.07	0.126693	0.0602908
4096	100	0.98	0.119147	0.98	0.119147	0.126462
8192	100	1.18	0.135926	1.18	0.135926	0.270906
16384	100	1.2	0.1249	1.2	0.1249	0.547252
32768	100	1.13	0.135392	1.13	0.135392	1.07615
65536	100	1.21	0.132133	1.21	0.132133	2.21567
