Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.99	0.164618	1.99	0.164618	0.0010648
32	100	2.69	0.169526	2.69	0.169526	0.00161536
64	100	3.28	0.171511	3.28	0.171511	0.00231483
128	100	4.02	0.137099	4.02	0.137099	0.00435087
256	100	4.98	0.100975	4.98	0.100975	0.00771128
512	100	5.19	0.0868274	5.19	0.0868274	0.0151695
1024	100	5.42	0.0802247	5.42	0.0802247	0.0292691
2048	100	5.23	0.0858545	5.23	0.0858545	0.0575033
4096	100	5.49	0.062442	5.49	0.062442	0.118487
8192	100	5.37	0.0808146	5.37	0.0808146	0.242129
16384	100	5.43	0.0710704	5.43	0.0710704	0.481978
32768	100	5.57	0.0636475	5.57	0.0636475	0.933045
65536	100	5.67	0.0584038	5.67	0.0584038	1.8413
