Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	2.12	0.178482	2.12	0.178482	0.000657679
32	100	1.37	0.175303	1.37	0.175303	0.001075
64	100	1.88	0.195591	1.88	0.195591	0.00182945
128	100	1.56	0.158316	1.56	0.158316	0.00329126
256	100	1.67	0.186577	1.67	0.186577	0.00605865
512	100	1.47	0.176326	1.47	0.176326	0.011667
1024	100	1.99	0.201244	1.99	0.201244	0.022595
2048	100	1.82	0.181317	1.82	0.181317	0.0447511
4096	100	1.57	0.182896	1.57	0.182896	0.0891608
8192	100	1.83	0.177231	1.83	0.177231	0.177432
16384	100	1.77	0.198925	1.77	0.198925	0.355079
32768	100	1.78	0.171219	1.78	0.171219	0.711384
65536	100	1.8	0.184932	1.8	0.184932	1.42531
