Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	2.08	0.196815	2.08	0.196815	0.000952129
32	100	3.39	0.249758	3.39	0.249758	0.00175705
64	100	4	0.278927	4	0.278927	0.00337277
128	100	5.12	0.225956	5.12	0.225956	0.00663187
256	100	6.56	0.200659	6.56	0.200659	0.0125308
512	100	7.36	0.1628	7.36	0.1628	0.0244941
1024	100	8.17	0.149034	8.17	0.149034	0.0471993
2048	100	8.43	0.141602	8.43	0.141602	0.0943043
4096	100	8.54	0.141718	8.54	0.141718	0.190706
8192	100	8.89	0.130303	8.89	0.130303	0.382925
16384	100	8.93	0.11769	8.93	0.11769	0.811313
32768	100	8.82	0.125204	8.82	0.125204	1.70217
65536	100	8.98	0.109526	8.98	0.109526	3.51028
