Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.51	0.190523	1.51	0.190523	0.00141855
32	100	1.88	0.158291	1.88	0.158291	0.00175478
64	100	1.61	0.193336	1.61	0.193336	0.00294832
128	100	2.17	0.211213	2.17	0.211213	0.00501442
256	100	1.77	0.191758	1.77	0.191758	0.00845147
512	100	1.64	0.196733	1.64	0.196733	0.0165367
1024	100	1.82	0.186215	1.82	0.186215	0.0306086
2048	100	1.93	0.179028	1.93	0.179028	0.0594001
4096	100	1.6	0.172627	1.6	0.172627	0.12136
8192	100	1.56	0.171651	1.56	0.171651	0.227777
16384	100	1.53	0.167604	1.53	0.167604	0.542333
32768	100	1.88	0.18291	1.88	0.18291	0.893055
65536	100	1.44	0.151868	1.44	0.151868	1.84175
