Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	2.12	0.207981	2.12	0.207981	0.00186809
32	100	2.84	0.237369	2.84	0.237369	0.00258404
64	100	4.04	0.266803	4.04	0.266803	0.0042964
128	100	5.11	0.242856	5.11	0.242856	0.00854128
256	100	6.12	0.229033	6.12	0.229033	0.0175226
512	100	7.35	0.188878	7.35	0.188878	0.0305341
1024	100	8.47	0.136715	8.47	0.136715	0.0543396
2048	100	8.5	0.141774	8.5	0.141774	0.110219
4096	100	9.03	0.109046	9.03	0.109046	0.216269
8192	100	8.72	0.127342	8.72	0.127342	0.457626
16384	100	8.81	0.13689	8.81	0.13689	0.914756
32768	100	8.91	0.120079	8.91	0.120079	1.88575
65536	100	8.62	0.133252	8.62	0.133252	4.01536
