Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.54	0.156474	1.54	0.156474	0.00114429
32	100	1.51	0.140353	1.51	0.140353	0.0015065
64	100	1.67	0.147685	1.67	0.147685	0.00261009
128	100	1.84	0.127844	1.84	0.127844	0.00508406
256	100	2.14	0.162493	2.14	0.162493	0.00954628
512	100	2.19	0.159809	2.19	0.159809	0.0191075
1024	100	1.92	0.141901	1.92	0.141901	0.0349683
2048	100	1.98	0.1449	1.98	0.1449	0.0733389
4096	100	1.97	0.144537	1.97	0.144537	0.144129
8192	100	2.22	0.149385	2.22	0.149385	0.278423
16384	100	2.2	0.150997	2.2	0.150997	0.570577
32768	100	2.17	0.142165	2.17	0.142165	1.15738
65536	100	2.18	0.152565	2.18	0.152565	2.34841
