Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.17	0.124944	1.17	0.124944	0.00111472
32	100	1.04	0.128779	1.04	0.128779	0.00121462
64	100	1.22	0.130828	1.22	0.130828	0.00192936
128	100	1.04	0.113066	1.04	0.113066	0.00360644
256	100	1.14	0.134922	1.14	0.134922	0.00670962
512	100	1.26	0.12379	1.26	0.12379	0.012344
1024	100	1.06	0.106602	1.06	0.106602	0.0237724
2048	100	0.92	0.0955824	0.92	0.0955824	0.0454593
4096	100	0.96	0.108554	0.96	0.108554	0.0886666
8192	100	1	0.103923	1	0.103923	0.17142
16384	100	0.93	0.0972163	0.93	0.0972163	0.344818
32768	100	1.18	0.0920652	1.18	0.0920652	0.692769
65536	100	1.06	0.0998198	1.06	0.0998198	1.38471
