Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.95	0.189934	1.95	0.189934	0.00105334
32	100	1.58	0.169812	1.58	0.169812	0.00183351
64	100	1.94	0.190693	1.94	0.190693	0.00333983
128	100	1.99	0.190523	1.99	0.190523	0.00630688
256	100	1.78	0.179209	1.78	0.179209	0.0122936
512	100	1.74	0.182549	1.74	0.182549	0.0236785
1024	100	1.8	0.164924	1.8	0.164924	0.0470053
2048	100	1.49	0.145255	1.49	0.145255	0.0928936
4096	100	1.8	0.183303	1.8	0.183303	0.185802
8192	100	2.1	0.182483	2.1	0.182483	0.367636
16384	100	1.66	0.173332	1.66	0.173332	0.742455
32768	100	1.78	0.155293	1.78	0.155293	1.47478
65536	100	1.62	0.139126	1.62	0.139126	2.95063
