Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.52	0.195694	1.52	0.195694	0.00212592
32	100	1.81	0.218034	1.81	0.218034	0.00341981
64	100	1.8	0.173781	1.8	0.173781	0.00596837
128	100	1.84	0.170129	1.84	0.170129	0.0129306
256	100	2.02	0.198987	2.02	0.198987	0.0225151
512	100	1.79	0.150529	1.79	0.150529	0.0427719
1024	100	1.48	0.155872	1.48	0.155872	0.0878729
2048	100	1.71	0.146489	1.71	0.146489	0.176994
4096	100	1.85	0.157083	1.85	0.157083	0.363541
8192	100	1.38	0.123919	1.38	0.123919	0.770684
16384	100	1.6	0.135647	1.6	0.135647	1.56875
32768	100	1.63	0.121371	1.63	0.121371	3.02814
65536	100	1.56	0.116034	1.56	0.116034	6.21042
