Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.64	0.163414	1.64	0.163414	0.00171837
32	100	2.26	0.212894	2.26	0.212894	0.0024311
64	100	2.19	0.207699	2.19	0.207699	0.00402364
128	100	1.58	0.180654	1.58	0.180654	0.00718716
256	100	1.76	0.167404	1.76	0.167404	0.0146327
512	100	1.72	0.170927	1.72	0.170927	0.0259232
1024	100	2.01	0.209521	2.01	0.209521	0.0492229
2048	100	1.76	0.173274	1.76	0.173274	0.0970613
4096	100	2.06	0.194844	2.06	0.194844	0.194723
8192	100	2.31	0.177028	2.31	0.177028	0.456378
16384	100	1.66	0.179566	1.66	0.179566	0.750988
32768	100	2.12	0.183456	2.12	0.183456	1.50199
65536	100	1.86	0.163107	1.86	0.163107	3.07947
