Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	0.91	0.0970515	0.91	0.0970515	0.000288596
32	100	1.14	0.108646	1.14	0.108646	0.000388254
64	100	1.1	0.108167	1.1	0.108167	0.00068148
128	100	1.02	0.102937	1.02	0.102937	0.001261
256	100	1.18	0.108056	1.18	0.108056	0.00243241
512	100	1.29	0.108899	1.29	0.108899	0.00473975
1024	100	1.35	0.10332	1.35	0.10332	0.00927712
2048	100	1.48	0.108148	1.48	0.108148	0.0182837
4096	100	1.67	0.0927955	1.67	0.0927955	0.0358195
8192	100	1.82	0.0876128	1.82	0.0876128	0.0705687
16384	100	2.14	0.0616766	2.14	0.0616766	0.14086
32768	100	2.18	0.0638436	2.18	0.0638436	0.279818
65536	100	2.29	0.0453762	2.29	0.0453762	0.560327
