Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	0.76	0.081388	0.76	0.081388	0.000234277
32	100	0.6	0.0812404	0.6	0.0812404	0.000324879
64	100	0.86	0.0883403	0.86	0.0883403	0.000550345
128	100	0.82	0.0792212	0.82	0.0792212	0.0010037
256	100	0.81	0.0945463	0.81	0.0945463	0.00188866
512	100	0.74	0.0855804	0.74	0.0855804	0.0036687
1024	100	0.73	0.0785557	0.73	0.0785557	0.00721841
2048	100	0.5	0.0685565	0.5	0.0685565	0.0144459
4096	100	0.69	0.0744245	0.69	0.0744245	0.0284273
8192	100	0.64	0.0741889	0.64	0.0741889	0.0567838
16384	100	0.62	0.0797245	0.62	0.0797245	0.113158
32768	100	0.64	0.0700286	0.64	0.0700286	0.226639
65536	100	0.72	0.0788416	0.72	0.0788416	0.449686
