Initialising fast UCB table... done
Main runs
Starting run 1 with 256 simulations... 
Time in this step: 0.0131626
Time in this step: 0.0128355
Time in this step: 0.0126091
Time in this step: 0.0127061
Time in this step: 0.0127401
Time in this step: 0.0129722
Time in this step: 0.0129679
Time in this step: 0.0127594
Time in this step: 0.0129416
Time in this step: 0.012916
Time in this step: 0.0129417
Time in this step: 0.0125095
Time in this step: 0.0125431
Time in this step: 0.0126113
Time in this step: 0.012645
Time in this step: 0.0119686
Time in this step: 0.0111832
Time in this step: 0.0100013
Time in this step: 0.00767077
Time in this step: 0.00420108
Terminated
Discounted return = 3.77354, average = 3.77354
Undiscounted return = 10, average = 10
Starting run 2 with 256 simulations... 
Time in this step: 0.0130069
Time in this step: 0.0130761
Time in this step: 0.0128342
Time in this step: 0.0126042
Time in this step: 0.0128249
Time in this step: 0.0129156
Time in this step: 0.0130053
Time in this step: 0.0131572
Time in this step: 0.0128734
Time in this step: 0.0130751
Time in this step: 0.0128401
Time in this step: 0.0128048
Time in this step: 0.0126389
Time in this step: 0.0126592
Time in this step: 0.0127316
Time in this step: 0.0127489
Time in this step: 0.0128726
Time in this step: 0.0124059
Time in this step: 0.0120906
Time in this step: 0.0119114
Time in this step: 0.0125026
Time in this step: 0.0118089
Time in this step: 0.0118004
Time in this step: 0.011756
Time in this step: 0.0121077
Time in this step: 0.012071
Time in this step: 0.0120863
Time in this step: 0.01212
Time in this step: 0.0117964
Time in this step: 0.0119841
Time in this step: 0.0120881
Time in this step: 0.0120821
Time in this step: 0.0120079
Time in this step: 0.0121997
Time in this step: 0.012359
Time in this step: 0.0118288
Time in this step: 0.0116802
Time in this step: 0.0117576
Time in this step: 0.0115406
Time in this step: 0.0108634
Time in this step: 0.0111475
Time in this step: 0.0115475
Time in this step: 0.0109879
Time in this step: 0.00952377
Time in this step: 0.00680568
Time in this step: 0.00359264
Terminated
Discounted return = 5.17561, average = 4.47457
Undiscounted return = 20, average = 15
Starting run 3 with 256 simulations... 
Time in this step: 0.0128833
Time in this step: 0.0124704
Time in this step: 0.0125744
Time in this step: 0.012655
Time in this step: 0.0125456
Time in this step: 0.0124939
Time in this step: 0.0126379
Time in this step: 0.0126925
Time in this step: 0.0126537
Time in this step: 0.0124424
Time in this step: 0.0125068
Time in this step: 0.0126241
Time in this step: 0.0125531
Time in this step: 0.0124415
Time in this step: 0.01245
Time in this step: 0.012203
Time in this step: 0.0122822
Time in this step: 0.0121518
Time in this step: 0.0123535
Time in this step: 0.0122956
Time in this step: 0.0124608
Time in this step: 0.0145386
Time in this step: 0.0123685
Time in this step: 0.0122337
Time in this step: 0.0124506
Time in this step: 0.0123582
Time in this step: 0.0120605
Time in this step: 0.012324
Time in this step: 0.0119895
Time in this step: 0.0118218
Time in this step: 0.0116628
Time in this step: 0.0118369
Time in this step: 0.0164525
Time in this step: 0.0176257
Time in this step: 0.0229876
Time in this step: 0.0124855
Time in this step: 0.0109638
Time in this step: 0.010147
Time in this step: 0.00998407
Time in this step: 0.00741543
Time in this step: 0.00350072
Terminated
Discounted return = -1.21832, average = 2.57694
Undiscounted return = 0, average = 10
Starting run 4 with 256 simulations... 
Time in this step: 0.0129974
Time in this step: 0.013166
Time in this step: 0.0139544
Time in this step: 0.0135453
Time in this step: 0.0128573
Time in this step: 0.0126654
Time in this step: 0.0124661
Time in this step: 0.0123911
Time in this step: 0.0121098
Time in this step: 0.0122339
Time in this step: 0.0123836
Time in this step: 0.0119906
Time in this step: 0.0117371
Time in this step: 0.0121655
Time in this step: 0.0118962
Time in this step: 0.0121788
Time in this step: 0.0122886
Time in this step: 0.0118406
Time in this step: 0.0118583
Time in this step: 0.0121581
Time in this step: 0.0117346
Time in this step: 0.0109247
Time in this step: 0.00970536
Time in this step: 0.0107037
Time in this step: 0.00953369
Time in this step: 0.00752056
Time in this step: 0.0035953
Terminated
Discounted return = 9.61857, average = 4.33735
Undiscounted return = 20, average = 12.5
Starting run 5 with 256 simulations... 
Time in this step: 0.0132384
Time in this step: 0.0129875
Time in this step: 0.0126845
Time in this step: 0.0130997
Time in this step: 0.0127011
Time in this step: 0.0134881
Time in this step: 0.0126595
Time in this step: 0.0126491
Time in this step: 0.0127889
Time in this step: 0.0125258
Time in this step: 0.0123003
Time in this step: 0.012232
Time in this step: 0.0117522
Time in this step: 0.0116871
Time in this step: 0.0110723
Time in this step: 0.0102531
Time in this step: 0.0104398
Time in this step: 0.010203
Time in this step: 0.00966651
Time in this step: 0.00975988
Time in this step: 0.00951859
Time in this step: 0.00988257
Time in this step: 0.00961759
Time in this step: 0.00908867
Time in this step: 0.00765008
Time in this step: 0.00611989
Time in this step: 0.00279354
Terminated
Discounted return = -4.03521, average = 2.66284
Undiscounted return = 0, average = 10
Starting run 6 with 256 simulations... 
Time in this step: 0.0138311
Time in this step: 0.0140433
Time in this step: 0.0139337
Time in this step: 0.0137073
Time in this step: 0.0125542
Time in this step: 0.0121918
Time in this step: 0.0123026
Time in this step: 0.0118432
Time in this step: 0.0116384
Time in this step: 0.0119492
Time in this step: 0.0120636
Time in this step: 0.0119674
Time in this step: 0.0117827
Time in this step: 0.0117813
Time in this step: 0.0118509
Time in this step: 0.0116196
Time in this step: 0.0103583
Time in this step: 0.0109609
Time in this step: 0.0110027
Time in this step: 0.0105473
Time in this step: 0.0106553
Time in this step: 0.00943256
Time in this step: 0.0099398
Time in this step: 0.0103924
Time in this step: 0.00871247
Time in this step: 0.00905873
Time in this step: 0.00886523
Time in this step: 0.00755169
Time in this step: 0.00635909
Time in this step: 0.00271876
Terminated
Discounted return = 3.12621, average = 2.74007
Undiscounted return = 20, average = 11.6667
Starting run 7 with 256 simulations... 
Time in this step: 0.0156458
Time in this step: 0.0137093
Time in this step: 0.0121113
Time in this step: 0.0125096
Time in this step: 0.012679
Time in this step: 0.0123013
Time in this step: 0.0120107
Time in this step: 0.0117853
Time in this step: 0.0115043
Time in this step: 0.0113816
Time in this step: 0.0117399
Time in this step: 0.0108688
Time in this step: 0.0105981
Time in this step: 0.00919573
Time in this step: 0.00953376
Time in this step: 0.00729153
Time in this step: 0.00341914
Terminated
Discounted return = 11.3846, average = 3.975
Undiscounted return = 20, average = 12.8571
Starting run 8 with 256 simulations... 
