Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	0.54	0.074054	0.54	0.074054	0.000152705
32	100	0.72	0.0949526	0.72	0.0949526	0.000199425
64	100	0.76	0.0906863	0.76	0.0906863	0.000296324
128	100	0.84	0.0945727	0.84	0.0945727	0.000484288
256	100	0.63	0.0890562	0.63	0.0890562	0.00087785
512	100	0.77	0.0858545	0.77	0.0858545	0.00161562
1024	100	0.71	0.0863655	0.71	0.0863655	0.00314235
2048	100	0.78	0.0855336	0.78	0.0855336	0.00608318
4096	100	0.75	0.089861	0.75	0.089861	0.012072
8192	100	0.85	0.089861	0.85	0.089861	0.0238146
16384	100	0.89	0.0936963	0.89	0.0936963	0.0485213
32768	100	0.76	0.0884534	0.76	0.0884534	0.0966704
65536	100	0.71	0.0919728	0.71	0.0919728	0.193029
