Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.7	0.103441	1.7	0.103441	0.000343222
32	100	1.96	0.0926499	1.96	0.0926499	0.000426695
64	100	2.46	0.0623217	2.46	0.0623217	0.00076262
128	100	2.65	0.0554527	2.65	0.0554527	0.00142309
256	100	2.83	0.0375633	2.83	0.0375633	0.00268915
512	100	2.92	0.0271293	2.92	0.0271293	0.00513032
1024	100	2.92	0.0271293	2.92	0.0271293	0.00997179
2048	100	2.94	0.0237487	2.94	0.0237487	0.0194203
4096	100	2.96	0.0195959	2.96	0.0195959	0.0386037
8192	100	2.97	0.0170587	2.97	0.0170587	0.0770517
16384	100	2.95	0.0217945	2.95	0.0217945	0.155998
32768	100	2.96	0.0195959	2.96	0.0195959	0.321928
65536	100	2.98	0.014	2.98	0.014	0.674592
